,,Random,Majority,Class ratio,Gaussian NB,XGBoost
1,acc.,0.524390243902439,0.8048780487804879,0.6280487804878049,0.6951219512195121,0.5426829268292683
1,bacc.,0.5151515151515151,0.5,0.5558712121212122,0.5383522727272727,0.4199810606060606
1,f1,0.573656909212962,0.7178642056690837,0.6608356046420696,0.7017437368943824,0.5829945958713971
1,auroc,0.5,0.5,0.5558712121212122,0.5977746212121212,0.42589962121212116
1,ap,0.8048780487804879,0.8048780487804879,0.8230135869752919,0.8551431830663325,0.7961874424954205
4,acc.,0.5153846153846153,0.13846153846153847,0.36923076923076925,0.2153846153846154,0.2076923076923077
4,bacc.,0.48561507936507936,0.5,0.49404761904761907,0.40476190476190477,0.4236111111111111
4,f1,0.5897088015837579,0.03367983367983368,0.4341469850903813,0.2321141545022142,0.21205260211118546
4,auroc,0.5,0.5,0.49404761904761896,0.36607142857142855,0.45535714285714285
4,ap,0.13846153846153847,0.13846153846153847,0.13706293706293707,0.11155648726498521,0.13994581490700064
5,acc.,0.559322033898305,0.7627118644067796,0.6694915254237288,0.6694915254237288,0.6186440677966102
5,bacc.,0.5388888888888889,0.5,0.5619047619047619,0.47579365079365077,0.503968253968254
5,f1,0.5915254237288136,0.6600391134289438,0.675093363975869,0.6386133049368473,0.6288254673917356
5,auroc,0.5,0.5,0.5619047619047619,0.6694444444444446,0.5130952380952382
5,ap,0.7627118644067796,0.7627118644067796,0.7860120787064095,0.8724513176218138,0.7975114161273791
9,acc.,0.43103448275862066,0.4827586206896552,0.4827586206896552,0.5172413793103449,0.47413793103448276
9,bacc.,0.430952380952381,0.5,0.4904761904761905,0.5279761904761905,0.4851190476190476
9,f1,0.4312036666769203,0.3143544506816359,0.4557721139430285,0.4665320998037566,0.41545084705623647
9,auroc,0.5,0.5,0.4904761904761905,0.6166666666666667,0.38422619047619044
9,ap,0.4827586206896552,0.4827586206896552,0.4780670889045273,0.6336417954854617,0.4253112601686713
10,acc.,0.4473684210526316,0.5789473684210527,0.5614035087719298,0.6228070175438597,0.543859649122807
10,bacc.,0.44034090909090906,0.5,0.5274621212121212,0.571969696969697,0.48674242424242425
10,f1,0.45016884614279906,0.424561403508772,0.5412517780938834,0.5751464970017517,0.4743260590500642
10,auroc,0.5,0.5,0.5274621212121212,0.6202651515151515,0.5280934343434344
10,ap,0.5789473684210527,0.5789473684210527,0.5927665616369082,0.716437626821301,0.6459124310661566
11,acc.,0.5263157894736842,0.8508771929824561,0.6403508771929824,0.7631578947368421,0.7982456140350878
11,bacc.,0.6003638568829595,0.5,0.49757428744693755,0.5697392359005458,0.4690721649484536
11,f1,0.5904453441295546,0.7823231063440591,0.6830211121022896,0.7708995851734898,0.755412922550278
11,auroc,0.5,0.5,0.4975742874469375,0.4530018192844148,0.383262583383869
11,ap,0.8508771929824561,0.8508771929824561,0.8502622535720745,0.8425293756138228,0.7949346960695084
13,acc.,0.4956521739130435,0.7043478260869566,0.6173913043478261,0.6608695652173913,0.7304347826086957
13,bacc.,0.4798474945533769,0.5,0.5406681190994916,0.5374001452432825,0.5611837327523602
13,f1,0.5174469743361354,0.582165039929015,0.6173913043478261,0.6333867871259176,0.6609301620966521
13,auroc,0.5,0.5,0.5406681190994916,0.625998547567175,0.5646332607116921
13,ap,0.7043478260869566,0.7043478260869566,0.7218637137763995,0.8140659230345249,0.775415019885576
14,acc.,0.46846846846846846,0.8288288288288288,0.5315315315315315,0.6486486486486487,0.6846846846846847
14,bacc.,0.4496567505720824,0.5,0.3832951945080092,0.45394736842105265,0.4548054919908467
14,f1,0.5326861555432983,0.7512537167709582,0.5837368066131734,0.6690283503842825,0.6878656714722288
14,auroc,0.5,0.5,0.3832951945080092,0.3764302059496567,0.3792906178489702
14,ap,0.8288288288288288,0.8288288288288288,0.7977542760151456,0.8096424109581672,0.8032578230087329
15,acc.,0.5217391304347826,0.7043478260869566,0.5565217391304348,0.5739130434782609,0.5826086956521739
15,bacc.,0.49836601307189543,0.5,0.4889251997095134,0.4500726216412491,0.41358024691358025
15,f1,0.5415292353823088,0.582165039929015,0.5646475950577192,0.5526277004227591,0.518585762064023
15,auroc,0.5,0.5,0.4889251997095134,0.4458968772694263,0.23093681917211326
15,ap,0.7043478260869566,0.7043478260869566,0.6997810548916574,0.6923892201597035,0.5700485857671225
16,acc.,0.40869565217391307,0.7391304347826086,0.6086956521739131,0.6434782608695652,0.6521739130434783
16,bacc.,0.4166666666666667,0.5,0.48725490196078436,0.4784313725490196,0.5813725490196078
16,f1,0.44172062904717857,0.6282608695652174,0.6065236783927395,0.6142940481501271,0.6616215174009447
16,auroc,0.5,0.5,0.48725490196078436,0.656078431372549,0.6321568627450981
16,ap,0.7391304347826086,0.7391304347826086,0.7342592041872361,0.8600395815870601,0.8433123815576505
19,acc.,0.5470085470085471,0.5213675213675214,0.5299145299145299,0.5641025641025641,0.4188034188034188
19,bacc.,0.5472775175644029,0.5,0.5206381733021077,0.5512295081967213,0.4133489461358314
19,f1,0.5472071548797892,0.35734178430807656,0.5064557896793465,0.5194626796913444,0.40995535144788875
19,auroc,0.5,0.5,0.5206381733021077,0.5298594847775175,0.39578454332552687
19,ap,0.5213675213675214,0.5213675213675214,0.5319511999839869,0.5422829489533117,0.4901711566604195
23,acc.,0.4636363636363636,0.9545454545454546,0.5454545454545454,0.8454545454545455,0.7
23,bacc.,0.5285714285714286,0.5,0.4761904761904762,0.7285714285714285,0.46190476190476193
23,f1,0.5953981502368599,0.9323467230443975,0.6703987667843088,0.8840312192773018,0.786872586872587
23,auroc,0.5,0.5,0.4761904761904763,0.7619047619047619,0.52
23,ap,0.9545454545454546,0.9545454545454546,0.9524874033070754,0.9847427054327809,0.9602327224098546
24,acc.,0.4714285714285714,0.05714285714285714,0.24285714285714285,0.17142857142857143,0.08571428571428572
24,bacc.,0.6022727272727273,0.5,0.24621212121212122,0.4431818181818182,0.5151515151515151
24,f1,0.5911840257560708,0.006177606177606178,0.3570359052711994,0.2286654135338346,0.06181139122315594
24,auroc,0.5,0.5,0.24621212121212122,0.38257575757575757,0.4810606060606061
24,ap,0.05714285714285714,0.05714285714285714,0.04775910364145658,0.2887206916451151,0.0646969696969697
25,acc.,0.4406779661016949,0.3898305084745763,0.4915254237288136,0.5,0.4406779661016949
25,bacc.,0.4278381642512077,0.5,0.536231884057971,0.582427536231884,0.47493961352657005
25,f1,0.4466001994017946,0.21868540719305496,0.4782838983050847,0.43904303294351454,0.4329454034210732
25,auroc,0.5,0.5,0.536231884057971,0.5836352657004831,0.4821859903381642
25,ap,0.3898305084745763,0.3898305084745763,0.4081636321153189,0.4705637302166431,0.42885703201527686
28,acc.,0.4,0.5130434782608696,0.4608695652173913,0.3565217391304348,0.5391304347826087
28,bacc.,0.40163438256658596,0.5,0.45641646489104115,0.34972760290556903,0.5290556900726392
28,f1,0.397543407384942,0.3479260369815092,0.444928443162649,0.31097875719674406,0.45707084346025745
28,auroc,0.5,0.5,0.45641646489104115,0.30871670702179177,0.45883777239709445
28,ap,0.5130434782608696,0.5130434782608696,0.4926470728976256,0.4312819022335583,0.48191911634215845
31,acc.,0.5245901639344263,0.18032786885245902,0.4180327868852459,0.2459016393442623,0.319672131147541
31,bacc.,0.4972727272727273,0.5,0.6095454545454545,0.3981818181818182,0.49636363636363634
31,f1,0.5795185787285333,0.055100182149362485,0.4470858137812408,0.25360479464128327,0.33638386626640143
31,auroc,0.5,0.5,0.6095454545454546,0.2909090909090909,0.5472727272727274
31,ap,0.18032786885245902,0.18032786885245902,0.22068353455349216,0.12887260672126388,0.20612615880318513
