,,Random,Majority,Class ratio,Gaussian NB,XGBoost
1,acc.,0.524390243902439,0.8048780487804879,0.6280487804878049,0.6951219512195121,0.5426829268292683
1,bacc.,0.5151515151515151,0.5,0.5558712121212122,0.5383522727272727,0.4199810606060606
1,f1,0.6422018348623852,0.8918918918918919,0.7447698744769874,0.8076923076923076,0.6861924686192469
1,auroc,0.5,0.5,0.5558712121212122,0.5977746212121212,0.42589962121212116
4,acc.,0.5153846153846153,0.13846153846153847,0.36923076923076925,0.2153846153846154,0.2076923076923077
4,bacc.,0.48561507936507936,0.5,0.49404761904761907,0.40476190476190477,0.4236111111111111
4,f1,0.20253164556962025,0.24324324324324326,0.22641509433962262,0.1904761904761905,0.20155038759689922
4,auroc,0.5,0.5,0.49404761904761896,0.36607142857142855,0.45535714285714285
5,acc.,0.559322033898305,0.7627118644067796,0.6694915254237288,0.6694915254237288,0.6186440677966102
5,bacc.,0.5388888888888889,0.5,0.5619047619047619,0.47579365079365077,0.503968253968254
5,f1,0.6666666666666666,0.8653846153846153,0.7796610169491527,0.7958115183246073,0.7428571428571428
5,auroc,0.5,0.5,0.5619047619047619,0.6694444444444446,0.5130952380952382
8,acc.,0.5,1.0,0.6842105263157895,0.6842105263157895,0.7105263157894737
8,bacc.,0.5,1.0,0.6842105263157895,0.6842105263157895,0.7105263157894737
8,f1,0.6666666666666666,1.0,0.8125000000000001,0.8125000000000001,0.8307692307692308
9,acc.,0.45689655172413796,0.4827586206896552,0.45689655172413796,0.5172413793103449,0.47413793103448276
9,bacc.,0.4577380952380953,0.5,0.4648809523809524,0.5279761904761905,0.4851190476190476
9,f1,0.4615384615384615,0.6511627906976745,0.5531914893617021,0.6266666666666666,0.5960264900662252
9,auroc,0.5,0.5,0.46488095238095234,0.6166666666666667,0.38422619047619044
10,acc.,0.5350877192982456,0.5789473684210527,0.5614035087719298,0.6228070175438597,0.543859649122807
10,bacc.,0.5416666666666667,0.5,0.5274621212121212,0.571969696969697,0.48674242424242425
10,f1,0.5546218487394957,0.7333333333333334,0.6621621621621622,0.7329192546583851,0.6829268292682927
10,auroc,0.5,0.5,0.5274621212121212,0.6202651515151515,0.5280934343434344
11,acc.,0.5701754385964912,0.8508771929824561,0.6228070175438597,0.7631578947368421,0.7982456140350878
11,bacc.,0.6018799272286235,0.5,0.4872650090964221,0.5697392359005458,0.4690721649484536
11,f1,0.6878980891719745,0.919431279620853,0.7542857142857144,0.8586387434554974,0.8878048780487804
11,auroc,0.5,0.5,0.48726500909642206,0.4530018192844148,0.383262583383869
13,acc.,0.46956521739130436,0.7043478260869566,0.6347826086956522,0.6608695652173913,0.7304347826086957
13,bacc.,0.4698620188816267,0.5,0.5871459694989107,0.5374001452432825,0.5611837327523602
13,f1,0.5547445255474452,0.826530612244898,0.7307692307692308,0.7771428571428571,0.835978835978836
13,auroc,0.5,0.5,0.5871459694989107,0.625998547567175,0.5646332607116921
14,acc.,0.5495495495495496,0.8288288288288288,0.6126126126126126,0.6486486486486487,0.6846846846846847
14,bacc.,0.5194508009153318,0.5,0.5366132723112128,0.45394736842105265,0.4548054919908467
14,f1,0.6753246753246753,0.9064039408866995,0.7361963190184049,0.7796610169491526,0.8087431693989071
14,auroc,0.5,0.5,0.5366132723112128,0.3764302059496567,0.3792906178489702
15,acc.,0.4608695652173913,0.7043478260869566,0.6521739130434783,0.5739130434782609,0.5826086956521739
15,bacc.,0.4722222222222222,0.5,0.565359477124183,0.4500726216412491,0.41358024691358025
15,f1,0.5373134328358209,0.826530612244898,0.7590361445783134,0.7134502923976608,0.7362637362637363
15,auroc,0.5,0.5,0.565359477124183,0.4458968772694263,0.23093681917211326
16,acc.,0.5130434782608696,0.7391304347826086,0.6347826086956522,0.6434782608695652,0.6521739130434783
16,bacc.,0.5196078431372548,0.5,0.5372549019607843,0.4784313725490196,0.5813725490196078
16,f1,0.6056338028169014,0.85,0.7499999999999999,0.7734806629834253,0.7560975609756098
16,auroc,0.5,0.5,0.5372549019607844,0.656078431372549,0.6321568627450981
19,acc.,0.5384615384615384,0.5213675213675214,0.6068376068376068,0.5641025641025641,0.4188034188034188
19,bacc.,0.5412763466042154,0.5,0.6039227166276346,0.5512295081967213,0.4133489461358314
19,f1,0.5178571428571428,0.6853932584269664,0.640625,0.6709677419354838,0.49253731343283585
19,auroc,0.5,0.5,0.6039227166276346,0.5298594847775175,0.39578454332552687
22,acc.,0.6057692307692307,1.0,0.6346153846153846,0.7403846153846154,0.7692307692307693
22,bacc.,0.6057692307692307,1.0,0.6346153846153846,0.7403846153846154,0.7692307692307693
22,f1,0.7544910179640718,1.0,0.7764705882352941,0.850828729281768,0.8695652173913044
23,acc.,0.4909090909090909,0.9545454545454546,0.6727272727272727,0.8454545454545455,0.7
23,bacc.,0.5428571428571428,0.5,0.638095238095238,0.7285714285714285,0.46190476190476193
23,f1,0.6455696202531644,0.9767441860465117,0.797752808988764,0.9137055837563451,0.8216216216216217
23,auroc,0.5,0.5,0.6380952380952382,0.7619047619047619,0.52
24,acc.,0.4714285714285714,0.05714285714285714,0.3142857142857143,0.17142857142857143,0.08571428571428572
24,bacc.,0.48484848484848486,0.5,0.5189393939393939,0.4431818181818182,0.5151515151515151
24,f1,0.0975609756097561,0.1081081081081081,0.1111111111111111,0.09375000000000001,0.1111111111111111
24,auroc,0.5,0.5,0.5189393939393939,0.38257575757575757,0.4810606060606061
25,acc.,0.5338983050847458,0.3898305084745763,0.5,0.5,0.4406779661016949
25,bacc.,0.519927536231884,0.5,0.5549516908212561,0.582427536231884,0.47493961352657005
25,f1,0.4329896907216495,0.5609756097560975,0.556390977443609,0.5986394557823129,0.46774193548387094
25,auroc,0.5,0.5,0.5549516908212561,0.5836352657004831,0.4821859903381642
26,acc.,0.5084745762711864,1.0,0.635593220338983,0.8305084745762712,0.5677966101694916
26,bacc.,0.5084745762711864,1.0,0.635593220338983,0.8305084745762712,0.5677966101694916
26,f1,0.6741573033707865,1.0,0.77720207253886,0.9074074074074074,0.7243243243243244
27,acc.,0.4608695652173913,1.0,0.7130434782608696,0.7043478260869566,0.8173913043478261
27,bacc.,0.4608695652173913,1.0,0.7130434782608696,0.7043478260869566,0.8173913043478261
27,f1,0.6309523809523809,1.0,0.8324873096446701,0.826530612244898,0.8995215311004785
28,acc.,0.5391304347826087,0.5130434782608696,0.5043478260869565,0.3565217391304348,0.5391304347826087
28,bacc.,0.5408595641646489,0.5,0.5006053268765133,0.34972760290556903,0.5290556900726392
28,f1,0.5137614678899083,0.6781609195402298,0.5714285714285714,0.4931506849315068,0.670807453416149
28,auroc,0.5,0.5,0.5006053268765133,0.30871670702179177,0.45883777239709445
31,acc.,0.5491803278688525,0.18032786885245902,0.4180327868852459,0.2459016393442623,0.319672131147541
31,bacc.,0.6009090909090908,0.5,0.6095454545454545,0.3981818181818182,0.49636363636363634
31,f1,0.3529411764705882,0.3055555555555556,0.36036036036036034,0.23333333333333328,0.2905982905982906
31,auroc,0.5,0.5,0.6095454545454546,0.2909090909090909,0.5472727272727274
32,acc.,0.5691056910569106,1.0,0.6666666666666666,0.6747967479674797,0.7723577235772358
32,bacc.,0.5691056910569106,1.0,0.6666666666666666,0.6747967479674797,0.7723577235772358
32,f1,0.7253886010362695,1.0,0.8,0.8058252427184466,0.8715596330275228
