,,Random,Majority,Class ratio,Gaussian NB,XGBoost
1,acc.,0.47560975609756095,0.8048780487804879,0.6036585365853658,0.6951219512195121,0.5426829268292683
1,bacc.,0.48484848484848486,0.5,0.4696969696969697,0.5383522727272727,0.4199810606060606
1,f1,0.5281757514911711,0.7178642056690837,0.6316106435918161,0.7017437368943824,0.5829945958713971
1,auroc,0.5,0.5,0.5303030303030303,0.5977746212121211,0.4258996212121212
1,ap,0.1951219512195122,0.1951219512195122,0.2053022269353128,0.23919117365268128,0.16941440289467868
4,acc.,0.4846153846153846,0.13846153846153847,0.2923076923076923,0.2153846153846154,0.2076923076923077
4,bacc.,0.5143849206349207,0.5,0.49603174603174605,0.40476190476190477,0.4236111111111111
4,f1,0.5597092960856167,0.03367983367983368,0.3276923076923077,0.2321141545022142,0.21205260211118546
4,auroc,0.5,0.5,0.503968253968254,0.36607142857142855,0.4553571428571429
4,ap,0.8615384615384616,0.8615384615384616,0.8624865330747684,0.8250742714223487,0.8368793775630703
5,acc.,0.4406779661016949,0.7627118644067796,0.5847457627118644,0.6694915254237288,0.6186440677966102
5,bacc.,0.46111111111111114,0.5,0.5063492063492063,0.47579365079365077,0.503968253968254
5,f1,0.4788935560713723,0.6600391134289438,0.6077013254257881,0.6386133049368473,0.6288254673917356
5,auroc,0.5,0.5,0.4936507936507937,0.6694444444444444,0.5158730158730158
5,ap,0.23728813559322035,0.23728813559322035,0.2350240558473004,0.3196402047089365,0.23919497957338504
9,acc.,0.5689655172413793,0.4827586206896552,0.4482758620689655,0.5172413793103449,0.47413793103448276
9,bacc.,0.569047619047619,0.5,0.45119047619047614,0.5279761904761905,0.4851190476190476
9,f1,0.5690936868764547,0.3143544506816359,0.4443208503275244,0.4665320998037566,0.41545084705623647
9,auroc,0.5,0.5,0.5488095238095237,0.6166666666666667,0.3842261904761905
9,ap,0.5172413793103449,0.5172413793103449,0.5435767410412441,0.5982636312514082,0.44237546449362436
10,acc.,0.5526315789473685,0.5789473684210527,0.5350877192982456,0.6228070175438597,0.543859649122807
10,bacc.,0.5596590909090908,0.5,0.5018939393939394,0.571969696969697,0.48674242424242425
10,f1,0.5548734220873285,0.424561403508772,0.5157603002214531,0.5751464970017517,0.4743260590500642
10,auroc,0.5,0.5,0.4981060606060606,0.6202651515151515,0.5280934343434344
10,ap,0.42105263157894735,0.42105263157894735,0.4201321204245181,0.49766692955504477,0.43196811071363644
11,acc.,0.47368421052631576,0.8508771929824561,0.5877192982456141,0.7631578947368421,0.7982456140350878
11,bacc.,0.39963614311704065,0.5,0.4909035779260158,0.5697392359005458,0.4690721649484536
11,f1,0.5490625297420767,0.7823231063440591,0.6445727698043624,0.7708995851734898,0.755412922550278
11,auroc,0.5,0.5,0.5090964220739842,0.45300181928441485,0.3832625833838691
11,ap,0.14912280701754385,0.14912280701754385,0.15148778809769523,0.25953909153747035,0.12775291103285735
13,acc.,0.5043478260869565,0.7043478260869566,0.5478260869565217,0.6608695652173913,0.7304347826086957
13,bacc.,0.5201525054466231,0.5,0.4742193173565723,0.5374001452432825,0.5611837327523602
13,f1,0.5252173913043479,0.582165039929015,0.5546627530116798,0.6333867871259176,0.6609301620966521
13,auroc,0.5,0.5,0.5257806826434278,0.625998547567175,0.5646332607116921
13,ap,0.2956521739130435,0.2956521739130435,0.30697180057793866,0.3596924431078994,0.42338757347072037
14,acc.,0.5315315315315315,0.8288288288288288,0.6576576576576577,0.6486486486486487,0.6846846846846847
14,bacc.,0.5503432494279177,0.5,0.48026315789473684,0.45394736842105265,0.4548054919908467
14,f1,0.5885074263452642,0.7512537167709582,0.6796460492112666,0.6690283503842825,0.6878656714722288
14,auroc,0.5,0.5,0.5197368421052632,0.3764302059496567,0.381578947368421
14,ap,0.17117117117117117,0.17117117117117117,0.1770134796450586,0.13740631952903934,0.14382850853232193
15,acc.,0.4782608695652174,0.7043478260869566,0.5304347826086957,0.5739130434782609,0.5826086956521739
15,bacc.,0.5016339869281046,0.5,0.42774146695715326,0.4500726216412491,0.41358024691358025
15,f1,0.4988303621843995,0.582165039929015,0.5261833606478358,0.5526277004227591,0.518585762064023
15,auroc,0.5,0.5,0.5722585330428467,0.4458968772694263,0.2309368191721133
15,ap,0.2956521739130435,0.2956521739130435,0.3299910640002465,0.2731630320285115,0.1976307586037956
16,acc.,0.591304347826087,0.7391304347826086,0.6173913043478261,0.6434782608695652,0.6521739130434783
16,bacc.,0.5833333333333333,0.5,0.5254901960784314,0.4784313725490196,0.5813725490196078
16,f1,0.6154827135276507,0.6282608695652174,0.6247380827658461,0.6142940481501271,0.6616215174009447
16,auroc,0.5,0.5,0.4745098039215686,0.656078431372549,0.6321568627450981
16,ap,0.2608695652173913,0.2608695652173913,0.2515655752370728,0.32813597843475784,0.3951029662135512
19,acc.,0.452991452991453,0.5213675213675214,0.49572649572649574,0.5641025641025641,0.4188034188034188
19,bacc.,0.4527224824355972,0.5,0.48785128805620603,0.5512295081967213,0.4133489461358314
19,f1,0.4532313690208427,0.35734178430807656,0.4781905605515764,0.5194626796913444,0.40995535144788875
19,auroc,0.5,0.5,0.512148711943794,0.5298594847775175,0.3957845433255269
19,ap,0.47863247863247865,0.47863247863247865,0.4848080738705739,0.5318084230116683,0.41536471389619034
23,acc.,0.5363636363636364,0.9545454545454546,0.7090909090909091,0.8454545454545455,0.7
23,bacc.,0.4714285714285714,0.5,0.4666666666666667,0.7285714285714285,0.46190476190476193
23,f1,0.6628099173553718,0.9323467230443975,0.7929963774366052,0.8840312192773018,0.786872586872587
23,auroc,0.5,0.5,0.5333333333333334,0.7619047619047619,0.52
23,ap,0.045454545454545456,0.045454545454545456,0.04859708193041526,0.29782608695652174,0.056074502494380785
24,acc.,0.5285714285714286,0.05714285714285714,0.4142857142857143,0.17142857142857143,0.08571428571428572
