,,Random,Majority,Class ratio,Gaussian NB,XGBoost
1,acc.,0.5121951219512195,0.975609756097561,0.7865853658536586,0.8902439024390244,0.926829268292683
1,bacc.,0.384375,0.5,0.525,0.94375,0.596875
1,f1,0.6589331746976007,0.9635651912074675,0.8595867680604921,0.9249655206689612,0.9418096273774387
1,auroc,0.5,0.5,0.525,0.953125,0.8546875
1,ap,0.975609756097561,0.975609756097561,0.9768013405324892,0.9988097065851389,0.9957820990134587
4,acc.,0.49230769230769234,0.6076923076923076,0.5846153846153846,0.6076923076923076,0.6153846153846154
4,bacc.,0.49888309754281457,0.5,0.5157607346736163,0.5243236535120377,0.5098039215686274
4,f1,0.49774725274725273,0.45940375414059625,0.5372946147139696,0.5332544378698225,0.4767011834319526
4,auroc,0.5,0.5,0.5157607346736163,0.5445519980143957,0.573343261355175
4,ap,0.6076923076923076,0.6076923076923076,0.6153200047320477,0.6110546765564071,0.6816253726063282
5,acc.,0.5423728813559322,0.9661016949152542,0.8135593220338984,0.8559322033898306,0.923728813559322
5,bacc.,0.40131578947368424,0.5,0.5416666666666667,0.44298245614035087,0.4780701754385965
5,f1,0.6774818401937046,0.9494447691408533,0.8686707174075257,0.8911074994195496,0.927798103486896
5,auroc,0.5,0.5,0.5416666666666667,0.6206140350877193,0.1732456140350877
5,ap,0.9661016949152542,0.9661016949152542,0.968840078404243,0.9817865073649525,0.9304349175033416
8,acc.,0.5263157894736842,0.9035087719298246,0.7105263157894737,0.8070175438596491,0.8508771929824561
8,bacc.,0.5754633715798765,0.5,0.3932038834951456,0.44660194174757284,0.470873786407767
8,f1,0.6184404024767801,0.8577087880992805,0.7506072874493928,0.8070175438596491,0.8307142263241041
8,auroc,0.5,0.5,0.3932038834951456,0.441306266548985,0.4492497793468667
8,ap,0.9035087719298246,0.9035087719298246,0.8853632075122378,0.8827018716453349,0.9088421826645219
9,acc.,0.5431034482758621,0.9655172413793104,0.8189655172413793,0.896551724137931,0.9655172413793104
9,bacc.,0.6428571428571428,0.5,0.42410714285714285,0.4642857142857143,0.5
9,f1,0.6732296632128729,0.9485783424077435,0.8694231083510375,0.9128526645768025,0.9485783424077435
9,auroc,0.5,0.5,0.42410714285714285,0.25223214285714285,0.5558035714285714
9,ap,0.9655172413793104,0.9655172413793104,0.9604947255809324,0.9532035783961489,0.9720230099808421
10,acc.,0.5350877192982456,0.5087719298245614,0.5,0.5526315789473685,0.5175438596491229
10,bacc.,0.5357142857142857,0.5,0.4929187192118227,0.5458743842364532,0.5092364532019704
10,f1,0.5345507450770609,0.34312525499796004,0.40196532863632145,0.47372738655498475,0.3764988642501851
10,auroc,0.5,0.5,0.4929187192118227,0.48768472906403937,0.605911330049261
10,ap,0.5087719298245614,0.5087719298245614,0.505259633851955,0.5227393015322477,0.6063422347458565
13,acc.,0.5391304347826087,0.8347826086956521,0.6956521739130435,0.6695652173913044,0.8260869565217391
13,bacc.,0.5339912280701754,0.5,0.5010964912280702,0.4010416666666667,0.4947916666666667
13,f1,0.5982420533908946,0.7596126107562332,0.7092779937602397,0.6695652173913044,0.7552795031055901
13,auroc,0.5,0.5,0.5010964912280702,0.4418859649122807,0.5723684210526316
13,ap,0.8347826086956521,0.8347826086956521,0.835085204650422,0.8271587446592117,0.8893372586048064
14,acc.,0.5315315315315315,0.3333333333333333,0.3963963963963964,0.3783783783783784,0.32432432432432434
14,bacc.,0.5337837837837838,0.5,0.49324324324324326,0.5,0.4527027027027027
14,f1,0.544927536231884,0.16666666666666666,0.3608522336769759,0.3102137365886627,0.2292829540575354
14,auroc,0.5,0.5,0.49324324324324326,0.6420745069393718,0.4806428049671293
14,ap,0.3333333333333333,0.3333333333333333,0.33036445536445536,0.5660668574023859,0.3229538273320424
15,acc.,0.5043478260869565,0.6173913043478261,0.6260869565217392,0.6086956521739131,0.5826086956521739
15,bacc.,0.49055697823303457,0.5,0.5545774647887324,0.5232074263764405,0.48047375160051214
15,f1,0.5097584541062802,0.4713417484805984,0.585993716428499,0.5457084125198775,0.4803351997294352
15,auroc,0.5,0.5,0.5545774647887324,0.5454545454545454,0.5611395646606914
15,ap,0.6173913043478261,0.6173913043478261,0.6444932313585491,0.6491886001627178,0.7117324560471652
22,acc.,0.5384615384615384,0.6442307692307693,0.5769230769230769,0.5769230769230769,0.6057692307692307
22,bacc.,0.5510286405808794,0.5,0.48406615570794675,0.44776119402985076,0.4883017345703913
22,f1,0.5478030215661401,0.5048358074673864,0.5339791787160209,0.4713883677298312,0.5255893505199704
22,auroc,0.5,0.5,0.48406615570794675,0.4784187172246874,0.5578862444534085
22,ap,0.6442307692307693,0.6442307692307693,0.6370280948200175,0.679859573005057,0.685797052002761
23,acc.,0.5636363636363636,0.6090909090909091,0.5727272727272728,0.6181818181818182,0.5545454545454546
23,bacc.,0.5668170774036794,0.5,0.5076362374175634,0.5282887886150642,0.4677195418257549
23,f1,0.5688919979318106,0.4611196712891628,0.5326505752312204,0.531993006993007,0.4708539944903581
23,auroc,0.5,0.5,0.5076362374175634,0.48281846581048243,0.36896910794862897
23,ap,0.6090909090909091,0.6090909090909091,0.6127544097693352,0.5970917501268035,0.5381142252889342
26,acc.,0.4491525423728814,0.7457627118644068,0.5932203389830508,0.711864406779661,0.7457627118644068
26,bacc.,0.4768939393939394,0.5,0.4196969696969697,0.4992424242424242,0.5
26,f1,0.4808968481339339,0.6371564916899786,0.5707726319369651,0.6444642680146695,0.6371564916899786
26,auroc,0.5,0.5,0.4196969696969697,0.5200757575757575,0.5481060606060606
26,ap,0.7457627118644068,0.7457627118644068,0.7168400102722137,0.7700904012457112,0.7732440974016807
27,acc.,0.5826086956521739,0.8347826086956521,0.6956521739130435,0.8173913043478261,0.7478260869565218
27,bacc.,0.6444627192982456,0.5,0.4799890350877193,0.6373355263157895,0.4479166666666667
27,f1,0.6354601919819312,0.7596126107562332,0.7043713915400023,0.8109698996655518,0.7143413367942895
27,auroc,0.5,0.5,0.47998903508771934,0.738486842105263,0.4671052631578947
27,ap,0.8347826086956521,0.8347826086956521,0.8293078930964625,0.9398476262234854,0.8334414290790612
28,acc.,0.5043478260869565,0.6434782608695652,0.6086956521739131,0.6260869565217392,0.6434782608695652
28,bacc.,0.5169742913645353,0.5,0.5110415293342122,0.497363216875412,0.5054383651944627
28,f1,0.5138963581430751,0.5038877386703474,0.5587402552069193,0.5226207266091405,0.5189771983800413
28,auroc,0.5,0.5,0.5110415293342122,0.6127224785761372,0.44891232696110744
28,ap,0.6434782608695652,0.6434782608695652,0.6485917113886634,0.7186308338934311,0.576426561139034
31,acc.,0.45081967213114754,0.7950819672131147,0.6147540983606558,0.7213114754098361,0.8032786885245902
31,bacc.,0.41711340206185565,0.5,0.4311340206185567,0.4832989690721649,0.52
31,f1,0.5034418345129578,0.7043191855677822,0.6226317928819779,0.6854251656516749,0.723312933118919
31,auroc,0.5,0.5,0.4311340206185567,0.6709278350515464,0.7208247422680413
31,ap,0.7950819672131147,0.7950819672131147,0.7734637665004189,0.8838730934797039,0.907949184808944
32,acc.,0.5772357723577236,0.8780487804878049,0.7235772357723578,0.7235772357723578,0.8699186991869918
32,bacc.,0.6157407407407407,0.5,0.5842592592592593,0.41203703703703703,0.49537037037037035
32,f1,0.649518736566676,0.8210326259106748,0.7605938494167552,0.7372296364473079,0.816967126193001
32,auroc,0.5,0.5,0.5842592592592593,0.35864197530864195,0.4049382716049383
32,ap,0.8780487804878049,0.8780487804878049,0.8965893916185539,0.8517073958193826,0.8634203350753309
