,,Random,Majority,Class ratio,Gaussian NB,XGBoost
1,acc.,0.5121951219512195,0.975609756097561,0.7865853658536586,0.8902439024390244,0.926829268292683
1,bacc.,0.384375,0.5,0.525,0.94375,0.596875
1,f1,0.6747967479674798,0.9876543209876543,0.8797250859106529,0.9403973509933775,0.9617834394904459
1,auroc,0.5,0.5,0.525,0.953125,0.8546875
4,acc.,0.49230769230769234,0.6076923076923076,0.5846153846153846,0.6076923076923076,0.6153846153846154
4,bacc.,0.49888309754281457,0.5,0.5157607346736163,0.5243236535120377,0.5098039215686274
4,f1,0.5285714285714286,0.7559808612440191,0.7096774193548387,0.7384615384615385,0.7596153846153846
4,auroc,0.5,0.5,0.5157607346736163,0.5445519980143957,0.573343261355175
5,acc.,0.5423728813559322,0.9661016949152542,0.8135593220338984,0.8559322033898306,0.923728813559322
5,bacc.,0.40131578947368424,0.5,0.5416666666666667,0.44298245614035087,0.4780701754385965
5,f1,0.7000000000000001,0.9827586206896551,0.8962264150943395,0.9223744292237442,0.9603524229074888
5,auroc,0.5,0.5,0.5416666666666667,0.6206140350877193,0.1732456140350877
8,acc.,0.5263157894736842,0.9035087719298246,0.7105263157894737,0.8070175438596491,0.8508771929824561
8,bacc.,0.5754633715798765,0.5,0.3932038834951456,0.44660194174757284,0.470873786407767
8,f1,0.6625,0.9493087557603688,0.8307692307692308,0.8932038834951457,0.9194312796208531
8,auroc,0.5,0.5,0.3932038834951456,0.441306266548985,0.4492497793468667
9,acc.,0.5431034482758621,0.9655172413793104,0.8189655172413793,0.896551724137931,0.9655172413793104
9,bacc.,0.6428571428571428,0.5,0.42410714285714285,0.4642857142857143,0.5
9,f1,0.6936416184971098,0.9824561403508771,0.900473933649289,0.9454545454545454,0.9824561403508771
9,auroc,0.5,0.5,0.42410714285714285,0.25223214285714285,0.5558035714285714
10,acc.,0.5350877192982456,0.5087719298245614,0.5,0.5526315789473685,0.5175438596491229
10,bacc.,0.5357142857142857,0.5,0.4929187192118227,0.5458743842364532,0.5092364532019704
10,f1,0.5225225225225225,0.6744186046511628,0.6459627329192547,0.679245283018868,0.6745562130177514
10,auroc,0.5,0.5,0.4929187192118227,0.48768472906403937,0.605911330049261
11,acc.,0.5263157894736842,1.0,0.7631578947368421,0.8859649122807017,0.9385964912280702
11,bacc.,0.5263157894736842,1.0,0.7631578947368421,0.8859649122807017,0.9385964912280702
11,f1,0.6896551724137931,1.0,0.8656716417910448,0.9395348837209303,0.9683257918552036
13,acc.,0.4434782608695652,0.8347826086956521,0.6608695652173913,0.6695652173913044,0.8260869565217391
13,bacc.,0.4133771929824561,0.5,0.4380482456140351,0.4010416666666667,0.4947916666666667
13,f1,0.5789473684210527,0.909952606635071,0.7914438502673797,0.8020833333333334,0.9047619047619048
13,auroc,0.5,0.5,0.4380482456140351,0.4418859649122807,0.5723684210526316
14,acc.,0.46846846846846846,0.3333333333333333,0.3333333333333333,0.3783783783783784,0.32432432432432434
14,bacc.,0.4864864864864865,0.5,0.43243243243243246,0.5,0.4527027027027027
14,f1,0.4040404040404041,0.5,0.421875,0.481203007518797,0.4525547445255475
14,auroc,0.5,0.5,0.4324324324324324,0.6420745069393718,0.4806428049671293
15,acc.,0.5478260869565217,0.6173913043478261,0.5652173913043478,0.6086956521739131,0.5826086956521739
15,bacc.,0.5603393085787451,0.5,0.4923175416133163,0.5232074263764405,0.48047375160051214
15,f1,0.5806451612903225,0.7634408602150538,0.6951219512195121,0.7368421052631579,0.7303370786516854
15,auroc,0.5,0.5,0.4923175416133163,0.5454545454545454,0.5611395646606914
16,acc.,0.4956521739130435,1.0,0.808695652173913,0.8608695652173913,0.9565217391304348
16,bacc.,0.4956521739130435,1.0,0.808695652173913,0.8608695652173913,0.9565217391304348
16,f1,0.6627906976744187,1.0,0.8942307692307693,0.9252336448598132,0.9777777777777777
19,acc.,0.4358974358974359,1.0,0.717948717948718,0.811965811965812,0.9230769230769231
19,bacc.,0.4358974358974359,1.0,0.717948717948718,0.811965811965812,0.9230769230769231
19,f1,0.6071428571428571,1.0,0.835820895522388,0.8962264150943396,0.9600000000000001
22,acc.,0.5192307692307693,0.6442307692307693,0.5673076923076923,0.5769230769230769,0.6057692307692307
22,bacc.,0.48769665187575634,0.5,0.47660346914078255,0.44776119402985076,0.4883017345703913
22,f1,0.6153846153846153,0.7836257309941521,0.7019867549668874,0.7317073170731708,0.7453416149068323
22,auroc,0.5,0.5,0.47660346914078255,0.4784187172246874,0.5578862444534085
23,acc.,0.509090909090909,0.6090909090909091,0.5545454545454546,0.6181818181818182,0.5545454545454546
23,bacc.,0.5137105171815342,0.5,0.480215203054495,0.5282887886150642,0.4677195418257549
23,f1,0.55,0.7570621468926554,0.6918238993710691,0.7500000000000001,0.703030303030303
23,auroc,0.5,0.5,0.480215203054495,0.48281846581048243,0.36896910794862897
24,acc.,0.5285714285714286,1.0,0.7857142857142857,0.8571428571428571,1.0
24,bacc.,0.5285714285714286,1.0,0.7857142857142857,0.8571428571428571,1.0
24,f1,0.691588785046729,1.0,0.88,0.923076923076923,1.0
25,acc.,0.4322033898305085,1.0,0.788135593220339,0.847457627118644,0.923728813559322
25,bacc.,0.4322033898305085,1.0,0.788135593220339,0.847457627118644,0.923728813559322
25,f1,0.6035502958579883,1.0,0.8815165876777251,0.9174311926605504,0.960352422907489
26,acc.,0.4576271186440678,0.7457627118644068,0.6440677966101694,0.711864406779661,0.7457627118644068
26,bacc.,0.43863636363636366,0.5,0.5196969696969697,0.4992424242424242,0.5
26,f1,0.5675675675675677,0.8543689320388349,0.7640449438202247,0.8282828282828283,0.8543689320388349
26,auroc,0.5,0.5,0.5196969696969698,0.5200757575757575,0.5481060606060606
27,acc.,0.4,0.8347826086956521,0.6782608695652174,0.8173913043478261,0.7478260869565218
27,bacc.,0.36622807017543857,0.5,0.44846491228070173,0.6373355263157895,0.4479166666666667
27,f1,0.5369127516778524,0.909952606635071,0.8042328042328043,0.8923076923076922,0.855721393034826
27,auroc,0.5,0.5,0.44846491228070173,0.738486842105263,0.4671052631578947
28,acc.,0.3739130434782609,0.6434782608695652,0.5826086956521739,0.6260869565217392,0.6434782608695652
28,bacc.,0.3829927488464074,0.5,0.5016479894528675,0.497363216875412,0.5054383651944627
28,f1,0.4193548387096775,0.7830687830687831,0.7073170731707318,0.7650273224043717,0.7807486631016042
28,auroc,0.5,0.5,0.5016479894528675,0.6127224785761372,0.44891232696110744
31,acc.,0.5409836065573771,0.7950819672131147,0.6557377049180327,0.7213114754098361,0.8032786885245902
31,bacc.,0.548041237113402,0.5,0.45690721649484534,0.4832989690721649,0.52
31,f1,0.6499999999999999,0.8858447488584476,0.7857142857142858,0.8349514563106795,0.8899082568807339
31,auroc,0.5,0.5,0.45690721649484534,0.6709278350515464,0.7208247422680413
32,acc.,0.4634146341463415,0.8780487804878049,0.6910569105691057,0.7235772357723578,0.8699186991869918
32,bacc.,0.29259259259259257,0.5,0.4222222222222222,0.41203703703703703,0.49537037037037035
32,f1,0.6292134831460674,0.9350649350649352,0.8155339805825242,0.839622641509434,0.9304347826086956
32,auroc,0.5,0.5,0.4222222222222222,0.35864197530864195,0.4049382716049383
